station,valid,lon,lat,tmpf,dwpf,drct,sknt,gust,vsby,alti,wxcodes
PNM,2022-05-12 21:15,-93.6082,45.5599,82.40,66.20,110.00,8.00,14.00,,29.76,
FSE,2022-05-12 21:15,-95.7735,47.5928,66.20,57.20,90.00,11.00,15.00,10.00,29.80,
SYN,2022-05-12 21:15,-93.0145,44.4736,93.20,57.40,140.00,13.00,23.00,10.00,29.75,
ADC,2022-05-12 21:15,-95.2109,46.4503,64.40,57.20,90.00,10.00,,10.00,29.75,
CNB,2022-05-12 21:15,-96.2660,44.7295,79.50,71.60,130.00,12.00,21.00,10.00,29.63,
ORB,2022-05-12 21:33,-92.8560,48.0159,55.40,53.60,0.00,0.00,,10.00,29.90,-DZ
EVM,2022-05-12 21:35,-92.4981,47.4251,59.00,55.40,0.00,0.00,,10.00,29.92,-RA
JYG,2022-05-12 21:36,-94.5579,43.9863,91.40,64.40,160.00,22.00,27.00,10.00,29.66,
XWA,2022-05-12 21:51,-103.7505,48.2597,52.00,45.00,30.00,22.00,31.00,10.00,29.77,-RA
IOW,2022-05-12 21:52,-91.5445,41.6394,94.00,59.00,180.00,16.00,26.00,10.00,29.88,
VTN,2022-05-12 21:52,-100.5489,42.8567,71.00,55.00,270.00,23.00,38.00,10.00,29.66,
CID,2022-05-12 21:52,-91.7246,41.8829,92.00,61.00,190.00,19.00,27.00,10.00,29.86,
EST,2022-05-12 21:52,-94.7476,43.4008,93.00,63.00,180.00,27.00,38.00,10.00,29.66,
DVN,2022-05-12 21:52,-90.5948,41.6133,96.00,64.00,160.00,18.00,26.00,10.00,29.92,
MBG,2022-05-12 21:52,-100.4078,45.5464,63.00,59.00,90.00,27.00,34.00,5.00,29.52,BR
IEN,2022-05-12 21:52,-102.5110,43.0225,56.00,41.00,260.00,27.00,41.00,10.00,29.81,
RAP,2022-05-12 21:52,-103.0574,44.0453,60.00,55.00,300.00,15.00,20.00,10.00,29.68,
SUX,2022-05-12 21:52,-96.3795,42.3917,91.00,62.00,200.00,20.00,32.00,9.00,29.67,
OMA,2022-05-12 21:52,-95.8992,41.3103,96.00,65.00,170.00,24.00,35.00,10.00,29.67,
N60,2022-05-12 21:52,-101.4394,47.6458,58.00,53.00,60.00,15.00,30.00,,29.65,
BIS,2022-05-12 21:52,-100.7458,46.7727,65.00,59.00,70.00,19.00,33.00,10.00,29.59,
CDD,2022-05-12 21:53,-92.4830,48.2660,53.60,51.80,0.00,0.00,,10.00,29.95,
DBQ,2022-05-12 21:53,-90.7091,42.3984,92.00,66.00,160.00,19.00,28.00,10.00,29.90,
IML,2022-05-12 21:53,-101.6201,40.5103,70.00,41.00,320.00,30.00,48.00,10.00,29.78,
SNY,2022-05-12 21:53,-102.9847,41.1014,72.00,12.90,280.00,31.00,42.00,10.00,29.85,
MCW,2022-05-12 21:53,-93.3261,43.1544,93.00,61.00,160.00,19.00,30.00,10.00,29.77,
MCK,2022-05-12 21:53,-100.5921,40.2063,94.00,12.90,250.00,24.00,38.00,10.00,29.63,
AXN,2022-05-12 21:53,-95.3947,45.8663,77.00,68.00,110.00,16.00,,10.00,29.68,
BDE,2022-05-12 21:53,-94.6122,48.7284,66.00,54.00,70.00,12.00,,10.00,29.88,
BRD,2022-05-12 21:53,-94.1308,46.4047,71.00,59.00,70.00,9.00,,10.00,29.77,
FNB,2022-05-12 21:53,-95.5920,40.0788,94.00,55.00,180.00,20.00,30.00,10.00,29.75,
HIB,2022-05-12 21:53,-92.8390,47.3866,56.00,54.00,50.00,11.00,,10.00,29.85,-RA
RWF,2022-05-12 21:53,-95.0820,44.5469,91.00,73.00,130.00,14.00,23.00,10.00,29.60,
OWA,2022-05-12 21:53,-93.2606,44.1233,93.20,62.60,140.00,16.00,25.00,10.00,29.76,
STP,2022-05-12 21:53,-93.0600,44.9345,85.00,68.00,130.00,8.00,,10.00,29.73,
AQP,2022-05-12 21:53,-96.0043,45.2275,82.40,71.60,120.00,13.00,23.00,10.00,29.58,
FOZ,2022-05-12 21:53,-93.6502,47.7828,57.20,57.20,80.00,3.00,,10.00,29.94,
XVG,2022-05-12 21:53,-94.2039,46.9900,60.80,57.20,70.00,4.00,,10.00,29.80,
BRL,2022-05-12 21:53,-91.1255,40.7729,90.00,66.00,160.00,12.00,20.00,10.00,29.90,
LWD,2022-05-12 21:53,-93.9005,40.6306,90.00,64.00,180.00,17.00,25.00,10.00,29.82,
OTM,2022-05-12 21:53,-92.4446,41.1008,93.00,63.00,170.00,19.00,28.00,10.00,29.86,
AIA,2022-05-12 21:53,-102.8000,42.0572,60.00,37.00,290.00,17.00,,10.00,29.85,
ORB,2022-05-12 21:53,-92.8560,48.0159,53.60,53.60,0.00,0.00,,10.00,29.92,-VCTSRA
DVP,2022-05-12 21:53,-95.7826,43.9868,91.40,62.60,160.00,23.00,31.00,5.00,29.65,HZ
ETH,2022-05-12 21:53,-96.5435,45.7805,75.20,66.20,100.00,11.00,,10.00,29.62,
FAR,2022-05-12 21:53,-96.8111,46.9253,69.00,59.00,90.00,7.00,,10.00,29.70,
GFK,2022-05-12 21:53,-97.1761,47.9492,64.00,57.00,60.00,16.00,,10.00,29.76,
HEI,2022-05-12 21:53,-102.6560,46.0149,55.00,54.00,40.00,12.00,,0.50,29.58,+TSRA FG
CUT,2022-05-12 21:53,-103.6114,43.7331,43.00,39.00,240.00,18.00,34.00,10.00,29.80,
PIR,2022-05-12 21:53,-100.2860,44.3827,70.00,61.00,260.00,13.00,,10.00,29.52,
ATY,2022-05-12 21:53,-97.1547,44.9140,76.00,70.00,110.00,9.00,21.00,8.00,29.57,
BBW,2022-05-12 21:53,-99.6385,41.4365,78.00,54.00,150.00,15.00,27.00,10.00,29.60,
FCM,2022-05-12 21:53,-93.4607,44.8261,88.00,67.00,110.00,13.00,,10.00,29.70,
PKD,2022-05-12 21:53,-95.0700,46.9000,63.00,56.00,90.00,8.00,,10.00,29.75,
STC,2022-05-12 21:53,-94.0513,45.5433,82.00,67.00,130.00,11.00,18.00,10.00,29.71,
ODX,2022-05-12 21:53,-98.9517,41.6236,75.00,58.00,160.00,10.00,18.00,10.00,29.56,
MIC,2022-05-12 21:53,-93.3511,45.0622,86.00,67.00,130.00,8.00,,10.00,29.71,
AMW,2022-05-12 21:53,-93.6185,41.9904,90.00,69.00,170.00,19.00,27.00,9.00,29.77,
MIW,2022-05-12 21:53,-92.9163,42.1106,91.00,62.00,150.00,18.00,27.00,10.00,29.80,
LBF,2022-05-12 21:53,-100.6690,41.1219,70.00,47.00,300.00,36.00,56.00,10.00,29.70,
GRI,2022-05-12 21:53,-98.3096,40.9675,88.00,62.00,180.00,23.00,36.00,10.00,29.62,VCTS
MHE,2022-05-12 21:53,-98.0386,43.7748,66.00,62.00,200.00,27.00,40.00,2.00,29.63,+RA BR
ICR,2022-05-12 21:53,-99.8422,43.3903,68.00,60.00,280.00,16.00,22.00,10.00,29.57,
CDR,2022-05-12 21:53,-103.0954,42.8376,53.00,38.00,300.00,19.00,31.00,10.00,29.81,
MSP,2022-05-12 21:53,-93.2313,44.8854,87.00,67.00,120.00,12.00,,10.00,29.72,
HSI,2022-05-12 21:53,-98.4279,40.6052,69.00,56.00,160.00,27.00,41.00,6.00,29.67,-RA
BFF,2022-05-12 21:53,-103.5956,41.8740,62.00,35.00,280.00,11.00,,10.00,29.87,
SPW,2022-05-12 21:53,-95.2101,43.1682,96.00,62.00,170.00,30.00,41.00,10.00,29.66,
ABR,2022-05-12 21:53,-98.4200,45.4500,76.00,69.00,90.00,19.00,27.00,10.00,29.51,
MOT,2022-05-12 21:54,-101.2803,48.2594,59.00,50.00,30.00,20.00,27.00,10.00,29.72,
ALO,2022-05-12 21:54,-92.4013,42.5544,93.00,60.00,170.00,18.00,27.00,10.00,29.81,
DSM,2022-05-12 21:54,-93.6531,41.5339,91.00,67.00,190.00,20.00,27.00,10.00,29.79,
INL,2022-05-12 21:54,-93.3956,48.5595,59.00,51.00,80.00,7.00,15.00,10.00,29.90,
TQE,2022-05-12 21:54,-96.1779,41.7635,100.00,62.00,170.00,31.00,43.00,10.00,29.65,
LNK,2022-05-12 21:54,-96.7633,40.8312,94.00,65.00,190.00,26.00,37.00,10.00,29.64,
RST,2022-05-12 21:54,-92.4916,43.9041,94.00,56.00,170.00,19.00,28.00,10.00,29.81,
CCY,2022-05-12 21:55,-92.6132,43.0730,93.20,59.00,190.00,20.00,27.00,10.00,29.81,
IFA,2022-05-12 21:55,-93.2651,42.4691,94.00,64.60,150.00,21.00,27.00,10.00,29.80,
CNC,2022-05-12 21:55,-93.3608,41.0184,89.60,69.80,180.00,17.00,25.00,10.00,29.82,
CSQ,2022-05-12 21:55,-94.3608,41.0188,89.60,66.20,170.00,18.00,30.00,10.00,29.79,
AWG,2022-05-12 21:55,-91.6748,41.2751,95.00,64.40,180.00,14.00,23.00,9.00,29.86,
FSW,2022-05-12 21:55,-91.3267,40.6615,91.40,66.20,170.00,13.00,,10.00,29.90,
EOK,2022-05-12 21:55,-91.4274,40.4615,93.20,68.00,150.00,10.00,16.00,10.00,29.90,
MPZ,2022-05-12 21:55,-91.5122,40.9453,95.00,62.60,170.00,15.00,20.00,10.00,29.89,
ACQ,2022-05-12 21:55,-93.5529,44.0735,91.40,64.40,150.00,17.00,24.00,,29.75,
AEL,2022-05-12 21:55,-93.3672,43.6815,93.20,62.60,160.00,16.00,28.00,10.00,29.75,
PNM,2022-05-12 21:55,-93.6082,45.5599,84.20,68.00,100.00,9.00,15.00,,29.74,
